Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status,TotalDelay
TK,788,2024-03-12 20:20:00,2024-03-12 21:13:00,A,IST,ISTANBUL,TURKEY,3,LANDED,53.0
A9,699,2024-03-12 21:10:00,2024-03-12 21:24:00,A,TBS,TBILISI,GEORGIA,3,LANDED,14.0
FR,5525,2024-03-12 20:30:00,2024-03-12 21:40:00,A,SKG,THESSALONIKI,GREECE,3,LANDED,70.0
IZ,827,2024-03-12 21:35:00,2024-03-12 21:43:00,D,ETM,RAMON,ISRAEL,1,DEPARTED,8.0
EZY,1827,2024-03-12 21:45:00,2024-03-12 22:09:00,A,MAN,MANCHESTER,UNITED KINGDOM,3,LANDED,24.0
UA,954,2024-03-12 22:05:00,2024-03-12 22:10:00,A,SFO,SAN FRANCISCO,UNITED STATES,3,LANDED,5.0
EJU,3738,2024-03-12 22:45:00,2024-03-12 22:12:00,D,CDG,PARIS,FRANCE,3,DEPARTED,0.0
AA,8376,2024-03-12 22:55:00,2024-03-12 22:40:00,A,CDG,PARIS,FRANCE,3,LANDED,0.0
LY,324,2024-03-12 22:05:00,2024-03-12 22:46:00,A,CDG,PARIS,FRANCE,3,LANDED,41.0
6H,457,2024-03-12 23:00:00,2024-03-12 23:07:00,D,ETM,RAMON,ISRAEL,1,DEPARTED,7.0
LX,253,2024-03-12 23:10:00,2024-03-12 23:11:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED,1.0
SU,509,2024-03-12 22:25:00,2024-03-12 23:27:00,D,SVO,MOSCOW,RUSSIAN FEDERATION,1,DEPARTED,62.0
VY,7845,2024-03-13 00:45:00,2024-03-12 23:55:00,D,BCN,BARCELONA,SPAIN,1,DEPARTED,0.0
FR,6768,2024-03-13 00:00:00,2024-03-13 00:09:00,A,BUD,BUDAPEST,HUNGARY,3,LANDED,9.0
TK,6247,2024-03-13 00:35:00,2024-03-13 00:15:00,D,IST,ISTANBUL,TURKEY,3,DEPARTED,0.0
QAS,MSAGI,2024-03-13 00:35:00,2024-03-13 00:15:00,D,LCA,LARNACA,CYPRUS,3,CANCELED,0.0
EZY,2086,2024-03-12 23:50:00,2024-03-13 00:27:00,D,LTN,LONDON LUTON,UNITED KINGDOM,3,DEPARTED,37.0
LY,051,2024-03-13 00:30:00,2024-03-13 00:30:00,D,JNB,JOHANNESBURG,SOUTH AFRICA,3,DEPARTED,0.0
QF,5024,2024-03-13 00:35:00,2024-03-13 00:32:00,D,JNB,JOHANNESBURG,SOUTH AFRICA,3,DEPARTED,0.0
QAS,FHGLG,2024-03-13 00:35:00,2024-03-13 00:36:00,A,CFE,CLERMOND FERR'D,FRANCE,3,LANDED,1.0
QAS,T7SBR,2024-03-13 00:20:00,2024-03-13 00:49:00,A,VRN,VERONA,ITALY,3,LANDED,29.0
LY,612,2024-03-13 00:45:00,2024-03-13 01:02:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED,17.0
S7,4483,2024-03-13 00:45:00,2024-03-13 01:02:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,LANDED,17.0
