Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
LY,88,2024-03-12 22:05:00,2024-03-12 22:10:00,A,HKT,PHUKET,THAILAND,3,LANDED
IZ,282,2024-03-12 22:45:00,2024-03-12 22:12:00,A,PRG,PRAGUE,CZECH REPUBLIC,3,LANDED
IZ,212,2024-03-12 22:55:00,2024-03-12 22:40:00,A,ATH,ATHENS,GREECE,3,LANDED
LY,92,2024-03-12 22:05:00,2024-03-12 22:46:00,A,NRT,TOKYO,JAPAN,3,LANDED
H7,457,2024-03-12 23:00:00,2024-03-12 23:07:00,A,RMO,CHISINAU,MOLDOVA,3,LANDED
LY,5134,2024-03-12 23:10:00,2024-03-12 23:11:00,A,LCA,LARNACA,CYPRUS,3,LANDED
6H,892,2024-03-12 22:25:00,2024-03-12 23:27:00,A,TBS,TBILISI,GEORGIA,3,LANDED
6H,586,2024-03-13 00:45:00,2024-03-12 23:55:00,A,LCA,LARNACA,CYPRUS,3,LANDED
H7,458,2024-03-13 00:00:00,2024-03-13 00:09:00,D,RMO,CHISINAU,MOLDOVA,3,DEPARTED
ET,404,2024-03-13 00:35:00,2024-03-13 00:15:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,8804,2024-03-13 00:35:00,2024-03-13 00:15:00,A,ADD,ADDIS ABABA,ETHIOPIA,3,LANDED
LY,5110,2024-03-12 23:50:00,2024-03-13 00:27:00,A,TBS,TBILISI,GEORGIA,3,LANDED
6H,728,2024-03-13 00:30:00,2024-03-13 00:30:00,A,BUD,BUDAPEST,HUNGARY,3,LANDED
LY,356,2024-03-13 00:35:00,2024-03-13 00:32:00,A,FRA,FRANKFURT,GERMANY,3,LANDED
LY,364,2024-03-13 00:35:00,2024-03-13 00:36:00,A,VIE,VIENNA,AUSTRIA,3,LANDED
LY,572,2024-03-13 00:20:00,2024-03-13 00:49:00,A,OTP,BUCHAREST,ROMANIA,3,LANDED
AM,7869,2024-03-13 00:45:00,2024-03-13 01:02:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
AR,7853,2024-03-13 00:45:00,2024-03-13 01:02:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
B6,6451,2024-03-13 00:45:00,2024-03-13 01:02:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
DL,7424,2024-03-13 00:45:00,2024-03-13 01:02:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
LY,1,2024-03-13 00:45:00,2024-03-13 01:02:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED
